video_duration_sec,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,claim_status_opinion,author_ban_status_banned
3.4965075614664802,11.855649546590044,11.256173422482188,9.854034668816597,7.057897937411856,6.529418838262226,107,0.0,0.0
3.4657359027997265,13.712575986212446,11.489564715056874,7.958227192322312,6.726233402358747,5.799092654460526,137,0.0,0.0
3.258096538021482,12.988847984651807,12.388206684743805,10.45774615922359,7.118826249062078,6.371611847231857,131,0.0,0.0
2.995732273553991,10.936102478697086,10.462760424539745,8.321421586897879,6.306275286948016,5.030437921392435,128,0.0,0.0
2.833213344056216,13.528289712464321,13.094360943393179,12.1751597268867,9.061492275239766,8.602820277383675,95,0.0,0.0
3.7376696182833684,13.213178012828992,6.9782137426306985,3.9318256327243257,3.1354942159291497,2.4849066497880004,99,0.0,0.0
3.9318256327243257,10.119405058758598,9.22631214148588,6.957497370876951,3.9889840465642745,3.332204510175204,103,0.0,0.0
3.828641396489095,13.744645935844527,12.049722882824971,11.123432126371762,8.31996102188653,7.840312983320164,102,0.0,0.0
3.871201010907891,13.45259043916796,12.380156196272385,10.045984880764673,7.450079569807499,5.937536205082426,83,0.0,0.0
3.4339872044851463,13.085796898652355,12.032361908984115,9.876886870738948,8.096512917501594,6.278521424165844,87,0.0,0.0
3.9512437185814275,13.458952750021997,12.982103110886316,11.492681940493169,7.786967002614872,7.252762418053187,77,0.0,0.0
3.7612001156935624,13.750686129292372,12.377160506643829,11.308321488735505,7.532623618788788,6.8679744089702925,98,0.0,0.0
2.3978952727983707,13.522731518014648,5.267858159063328,3.4011973816621555,1.0986122886681098,0.0,100,0.0,0.0
2.4849066497880004,13.735393180836377,11.123063000089472,9.781941194456632,6.740519359606223,6.285998094508865,87,0.0,0.0
3.332204510175204,13.05558875806159,10.607475756273947,7.9391588179567965,6.206575926724928,5.793013608384144,71,0.0,0.0
2.4849066497880004,12.035254668119634,11.564055746071835,10.543497634682945,7.452402451223638,6.543911845564792,65,0.0,0.0
3.5553480614894135,12.42896016407079,9.925151192172155,7.714677473800927,5.3612921657094255,4.2626798770413155,63,0.0,0.0
3.332204510175204,13.218146172781045,10.326432330524938,8.81060879571578,5.556828061699537,4.48863636973214,80,0.0,0.0
3.044522437723423,13.144105299522733,11.99912842369946,10.194140208432742,7.827240901752812,7.157735484249907,93,0.0,0.0
3.970291913552122,11.003715202472089,10.441325048548917,9.336620537886512,5.393627546352362,4.356708826689592,102,0.0,1.0
4.007333185232471,13.529085029064214,11.822268730631714,10.208026742054331,7.87777633327726,7.095893221097532,84,0.0,0.0
